City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0,-57.56,75.2,64,40,18.34,AR,1607447877
1,bredasdorp,-34.53,20.04,68.0,77,16,14.99,ZA,1607448099
2,anadyr,64.75,177.48,3.2,91,40,4.47,RU,1607448099
3,fortuna foothills,32.66,-114.41,71.01,10,1,8.05,US,1607448099
4,padang,-0.95,100.35,77.83,79,100,3.85,ID,1607448099
5,tasiilaq,65.61,-37.64,15.8,61,40,5.82,GL,1607448099
6,tiksi,71.69,128.87,-20.72,88,97,3.42,RU,1607448100
7,jamestown,42.1,-79.24,33.01,89,1,16.11,US,1607448100
8,vaini,-21.2,-175.2,77.0,88,75,10.29,TO,1607448100
9,half moon bay,37.46,-122.43,60.01,50,5,6.33,US,1607447955
10,vao,-22.67,167.48,77.95,86,20,12.73,NC,1607448100
11,busselton,-33.65,115.33,61.0,89,52,5.01,AU,1607448100
12,nouadhibou,20.93,-17.03,78.8,34,13,13.87,MR,1607448100
13,broome,42.25,-75.83,28.99,73,90,17.22,US,1607447920
14,fortuna,40.6,-124.16,54.0,93,40,3.36,US,1607448101
15,lavrentiya,65.58,-171.0,11.21,89,19,9.19,RU,1607448101
16,hermanus,-34.42,19.23,64.99,89,12,4.0,ZA,1607448101
17,rugby,52.37,-1.26,41.0,98,99,9.26,GB,1607448101
18,atuona,-9.8,-139.03,78.82,72,2,14.74,PF,1607448101
19,gourcy,13.22,-2.35,93.83,13,0,8.81,BF,1607448101
20,mataura,-46.19,168.86,51.01,72,26,1.99,NZ,1607448102
21,punta arenas,-53.15,-70.92,48.2,93,90,12.75,CL,1607448102
22,puerto ayora,-0.74,-90.35,82.4,61,20,24.16,EC,1607448102
23,purisima,9.24,-75.72,87.94,64,7,3.71,CO,1607448102
24,berdigestyakh,62.1,126.7,-15.16,88,90,4.74,RU,1607448102
25,hamilton,39.18,-84.53,37.0,55,90,4.7,US,1607448102
26,east london,-33.02,27.91,66.2,93,100,8.05,ZA,1607448102
27,amapa,1.0,-52.0,95.94,34,28,5.75,BR,1607448103
28,avarua,-21.21,-159.78,78.8,78,51,8.05,CK,1607448103
29,dedza,-14.38,34.33,64.6,94,100,3.02,MW,1607448103
30,rikitea,-23.12,-134.97,76.42,78,0,17.22,PF,1607448103
31,hofn,64.25,-15.21,31.51,93,45,8.23,IS,1607447538
32,linxia,35.6,103.21,25.81,90,89,4.79,CN,1607448103
33,new norfolk,-42.78,147.06,57.99,77,88,1.01,AU,1607448104
34,awjilah,29.11,21.29,56.17,33,0,5.99,LY,1607448104
35,kapaa,22.08,-159.32,77.0,78,40,12.75,US,1607448104
36,santa maria,-29.68,-53.81,78.8,57,75,6.93,BR,1607448104
37,valdez,1.25,-78.98,75.99,88,100,9.8,EC,1607448104
38,lulea,65.58,22.15,33.8,100,75,9.17,SE,1607448104
39,ukiah,39.15,-123.21,39.2,34,1,2.33,US,1607448104
40,trairi,-3.28,-39.27,87.37,54,81,16.46,BR,1607448105
41,yellowknife,62.46,-114.35,0.0,84,20,4.7,CA,1607448105
42,longyearbyen,78.22,15.64,24.8,68,75,16.11,SJ,1607448105
43,bambous virieux,-20.34,57.76,78.01,83,75,16.11,MU,1607448105
44,dikson,73.51,80.55,-3.15,93,100,19.28,RU,1607447534
45,ponta do sol,32.67,-17.1,66.2,63,40,4.7,PT,1607448105
46,albany,42.6,-73.97,28.0,60,97,4.0,US,1607447889
47,karratha,-20.74,116.85,84.15,59,58,13.71,AU,1607447946
48,ushuaia,-54.8,-68.3,53.6,81,75,6.29,AR,1607448061
49,khatanga,71.97,102.5,-20.51,88,100,4.38,RU,1607448106
50,flinders,-34.58,150.86,60.01,75,68,1.01,AU,1607447527
51,mareeba,-17.0,145.43,82.4,83,75,2.24,AU,1607448106
