City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la huacana,18.9667,-101.8167,88.47,30,0,5.79,MX,1744217041
1,grytviken,-54.2811,-36.5092,46.6,74,27,5.57,GS,1744216983
2,kodiak,57.79,-152.4072,24.31,80,0,5.75,US,1744216991
3,mapastepec,15.4333,-92.9,92.41,37,100,4.68,MX,1744217041
4,gaalkacyo,6.7697,47.4308,83.71,49,39,19.3,SO,1744217041
5,anadyr,64.75,177.4833,-5.3,77,0,8.95,RU,1744217005
6,adamstown,-25.066,-130.1015,74.23,68,90,9.57,PN,1744216980
7,rodolfo sanchez taboada,31.7167,-116.5667,64.89,70,1,6.69,MX,1744217041
8,los llanos de aridane,28.6585,-17.9182,65.95,93,75,18.41,ES,1744217041
9,gadzhiyevo,69.2551,33.3362,23.09,83,100,31.97,RU,1744217042
10,castelli,-25.9468,-60.6195,79.7,38,0,5.61,AR,1744217042
11,olonkinbyen,70.9221,-8.7187,27.5,92,100,20.8,SJ,1744217009
12,bilibino,68.0546,166.4372,1.62,99,99,5.64,RU,1744217003
13,kalispell,48.1958,-114.3129,47.28,58,100,8.05,US,1744217042
14,port-aux-francais,-49.35,70.2167,41.72,81,77,26.44,TF,1744216986
15,bethel,41.3712,-73.414,44.19,39,0,6.91,US,1744216983
16,vorgashor,67.5833,63.95,15.31,87,99,17.07,RU,1744217042
17,inverloch,-38.6333,145.7167,58.48,81,100,7.11,AU,1744217042
18,eenhana,-17.4667,16.3333,75.92,50,16,3.44,NA,1744217043
19,aasiaat,68.7098,-52.8699,25.92,88,76,21.3,GL,1744216994
20,papatowai,-46.5619,169.4708,51.69,91,94,8.57,NZ,1744216995
21,holualoa,19.6228,-155.9522,67.84,91,20,10.36,US,1744217043
22,ilulissat,69.2167,-51.1,35.62,80,20,9.22,GL,1744216986
23,edinburgh of the seven seas,-37.0676,-12.3116,65.59,92,35,12.48,SH,1744216991
24,spirit lake,43.4222,-95.1022,52.88,50,99,1.99,US,1744217043
25,tolanaro,-25.0319,46.9987,75.33,90,46,2.84,MG,1744216981
26,iqaluit,63.7506,-68.5145,26.33,58,100,23.02,CA,1744216989
27,thunder bay,48.4001,-89.3168,35.58,64,40,9.22,CA,1744216804
28,mutsu,41.2894,141.2169,45.07,89,32,11.52,JP,1744217044
29,bredasdorp,-34.5322,20.0403,67.03,73,90,4.79,ZA,1744216982
30,apartado,7.883,-76.6259,82.26,78,75,13.8,CO,1744217044
31,thompson,55.7435,-97.8558,35.76,27,75,9.22,CA,1744216977
32,orchard homes,46.8633,-114.0484,46.98,80,100,4.0,US,1744217044
33,darhan,49.4867,105.9228,43.12,62,97,7.05,MN,1744217044
34,mount gambier,-37.8333,140.7667,55.78,52,100,6.71,AU,1744216989
35,newman,37.3138,-121.0208,62.04,68,0,5.01,US,1744217024
36,kirakira,-10.4544,161.9205,80.1,84,59,6.08,SB,1744217045
37,nar'yan-mar,67.6713,53.087,26.44,95,100,14.14,RU,1744216999
38,lata,40.1629,-8.3327,84.49,27,85,6.15,PT,1744217045
39,yanam,16.7333,82.2167,80.64,80,11,4.68,IN,1744216997
40,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,74,75,8.95,RU,1744216980
41,juneau,58.3019,-134.4197,40.41,95,100,8.05,US,1744217045
42,ribeira grande,38.5167,-28.7,64.8,59,40,18.01,PT,1744216983
43,yuxi,24.355,102.5422,63.37,54,70,3.85,CN,1744217045
44,natal,-5.795,-35.2094,89.82,58,20,14.97,BR,1744217028
45,alice springs,-23.7,133.8833,60.35,77,4,4.61,AU,1744217019
46,aswan,24.0934,32.907,103.3,7,0,10.36,EG,1744217046
47,puerto natales,-51.7236,-72.4875,63.05,42,20,17.27,CL,1744216975
48,udachny,66.4167,112.4,-9.51,100,89,4.38,RU,1744216997
49,blackmans bay,-43.0167,147.3167,53.73,84,99,1.01,AU,1744216982
50,yellowknife,62.456,-114.3525,37.42,92,100,8.05,CA,1744216986
51,isafjordur,66.0755,-23.124,51.84,71,75,17.27,IS,1744216987
52,ravar,31.2656,56.8055,76.86,19,1,3.98,IR,1744217018
53,campo formoso,-10.5075,-40.3214,92.68,31,31,10.25,BR,1744217047
54,remire-montjoly,4.9167,-52.2667,86.04,74,75,18.41,GF,1744217047
55,labrador city,52.9463,-66.9114,13.91,52,20,14.97,CA,1744217026
56,ust'-barguzin,53.45,108.9833,24.48,92,96,1.03,RU,1744217047
57,wynyard,-41.0,145.7167,57.18,83,100,1.01,AU,1744217047
58,tazovsky,67.4667,78.7,0.73,93,58,8.19,RU,1744217024
59,filadelfia,39.9523,-75.1638,47.05,32,0,13.8,US,1744217047
60,talnakh,69.4865,88.3972,-10.37,100,91,1.07,RU,1744216990
61,ginir,7.1333,40.7,63.18,27,16,1.7,ET,1744217048
62,gazojak,41.1875,61.4036,77.5,20,87,11.5,TM,1744217048
63,albany,42.6001,-73.9662,38.57,46,15,7.0,US,1744216902
64,chonchi,-42.6128,-73.8092,59.13,61,100,6.17,CL,1744217024
65,al jawf,29.5,38.75,89.74,8,21,16.35,SA,1744217006
66,mao,39.8885,4.2658,63.16,77,20,9.22,ES,1744217048
67,totness,5.8833,-56.3167,80.94,86,78,12.77,SR,1744217049
68,la ronge,55.1001,-105.2842,35.85,75,100,6.91,CA,1744216992
69,alotau,-10.3069,150.4462,78.21,89,100,4.07,PG,1744217049
70,badger,64.8,-147.5333,20.98,83,100,3.44,US,1744216982
71,vila velha,-20.3297,-40.2925,85.95,90,20,12.66,BR,1744216982
72,tiksi,71.6872,128.8694,1.85,99,100,7.23,RU,1744216984
73,pisco,-13.7,-76.2167,73.02,83,0,10.36,PE,1744216996
74,stanley,54.868,-1.6985,45.52,74,75,8.05,GB,1744216982
75,jurbarkas,55.0778,22.7664,37.8,66,100,17.2,LT,1744217049
76,tralee,52.2704,-9.7026,66.45,42,0,6.91,IE,1744217027
77,siyabuswa,-25.1132,29.0445,74.48,60,46,3.44,ZA,1744217050
78,kerikeri,-35.2268,173.9474,47.91,91,81,3.96,NZ,1744217050
79,port alfred,-33.5906,26.891,67.17,96,66,5.99,ZA,1744217002
80,ushuaia,-54.8,-68.3,60.46,44,0,2.3,AR,1744216980
81,hermanus,-34.4187,19.2345,64.8,90,96,4.79,ZA,1744217003
82,rongelap,11.1635,166.8941,81.0,79,38,19.01,MH,1744217005
83,altay,47.8667,88.1167,39.22,82,87,4.27,CN,1744217050
84,invercargill,-46.4,168.35,49.01,89,88,1.99,NZ,1744217000
85,sandwip,22.4678,91.4561,82.76,77,83,13.0,BD,1744217051
86,harstad,68.799,16.5293,29.16,62,100,3.0,NO,1744217051
87,mount pearl,47.5166,-52.7813,38.44,80,75,25.32,CA,1744217031
88,berazategui,-34.7633,-58.2117,70.92,74,64,16.04,AR,1744216768
89,lupiro,-8.3833,36.6667,75.78,84,87,2.13,TZ,1744217051
90,newnham,-41.3833,147.1333,52.75,87,100,9.22,AU,1744217051
91,waitangi,-43.9535,-176.5597,53.82,94,50,15.99,NZ,1744216991
92,valparaiso,-33.0393,-71.6273,64.0,80,100,6.91,CL,1744216902
